QueryId,Tokens,Tokens_Old,Tags_Pred,Tags_Labeled,Spans_Pred,Spans_Labeled,SpansId_Pred,SpansId_Labeled,OrderId
20,▁at,▁at,O,O,None,None,-1,-1,210
20,▁,▁,O,O,None,None,-1,-1,211
20,123456,123456,O,O,None,None,-1,-1,212
20,?,?,O,O,None,None,-1,-1,213
21,▁Find,▁Find,O,O,None,None,-1,-1,214
21,▁the,▁the,O,O,None,None,-1,-1,215
21,▁profile,▁profile,O,O,None,None,-1,-1,216
21,▁for,▁for,O,O,None,None,-1,-1,217
21,▁the,▁the,O,O,None,None,-1,-1,218
21,▁client,▁client,O,O,None,None,-1,-1,219
21,▁with,▁with,O,O,None,None,-1,-1,220
21,▁smith,▁smith,B-PERSON,B-PERSON,smith,smith,7,7,221
21,▁as,▁as,O,O,None,None,-1,-1,222
21,▁their,▁their,O,O,None,None,-1,-1,223
21,▁surname,▁surname,O,O,None,None,-1,-1,224
21,?,?,O,O,None,None,-1,-1,225
22,▁Find,▁Find,O,O,None,None,-1,-1,226
22,▁all,▁all,O,O,None,None,-1,-1,227
22,▁customers,▁customers,O,O,None,None,-1,-1,228
22,▁whose,▁whose,O,O,None,None,-1,-1,229
22,▁preferential,▁preferential,O,O,None,None,-1,-1,230
22,▁name,▁name,O,O,None,None,-1,-1,231
22,▁is,▁is,O,O,None,None,-1,-1,232
22,▁johnson,▁johnson,B-PERSON,B-PERSON,johnson,johnson,7,7,233
22,▁and,▁and,O,O,None,None,-1,-1,234
22,▁main,▁main,O,O,None,None,-1,-1,235
22,▁phone,▁phone,O,O,None,None,-1,-1,236
22,▁is,▁is,O,O,None,None,-1,-1,237
22,▁4,▁4,O,B-CARDINAL,None,4256668888,-1,12,238
22,256,256,O,I-CARDINAL,None,4256668888,-1,12,239
22,668,668,O,I-CARDINAL,None,4256668888,-1,12,240
22,888,888,O,I-CARDINAL,None,4256668888,-1,12,241
22,.,.,O,O,None,None,-1,-1,242
23,▁contact,▁contact,O,O,None,None,-1,-1,243
23,▁whose,▁whose,O,O,None,None,-1,-1,244
23,▁first,▁first,B-ORDINAL,B-ORDINAL,first,first,2,2,245
23,▁name,▁name,O,O,None,None,-1,-1,246
23,▁is,▁is,O,O,None,None,-1,-1,247
23,▁mike,▁mike,B-PERSON,B-PERSON,mike,mike,5,5,248
24,▁What,▁What,O,O,None,None,-1,-1,249
24,▁customer,▁customer,O,O,None,None,-1,-1,250
24,▁is,▁is,O,O,None,None,-1,-1,251
24,▁billed,▁billed,O,O,None,None,-1,-1,252
24,▁at,▁at,O,O,None,None,-1,-1,253
24,▁205,▁205,B-CARDINAL,B-CARDINAL,205,205,5,5,254
24,▁ne,▁ne,O,O,None,None,-1,-1,255
24,▁32,▁32,O,B-FAC,None,32nd st,-1,7,256
24,nd,nd,O,I-FAC,None,32nd st,-1,7,257
24,▁st,▁st,O,I-FAC,None,32nd st,-1,7,258
24,?,?,O,O,None,None,-1,-1,259
25,▁Which,▁Which,O,O,None,None,-1,-1,260
25,▁customers,▁customers,O,O,None,None,-1,-1,261
25,▁have,▁have,O,O,None,None,-1,-1,262
25,▁a,▁a,O,O,None,None,-1,-1,263
25,▁churn,▁churn,O,O,None,None,-1,-1,264
25,▁score,▁score,O,O,None,None,-1,-1,265
25,▁higher,▁higher,B-CARDINAL,B-CARDINAL,higher than,higher than 100,6,6,266
25,▁than,▁than,I-CARDINAL,I-CARDINAL,higher than,higher than 100,6,6,267
25,▁100,▁100,B-CARDINAL,I-CARDINAL,100,higher than 100,8,6,268
25,?,?,O,O,None,None,-1,-1,269
26,▁Which,▁Which,O,O,None,None,-1,-1,270
26,▁customer,▁customer,O,O,None,None,-1,-1,271
26,',',O,O,None,None,-1,-1,272
26,s,s,O,O,None,None,-1,-1,273
26,▁fax,▁fax,O,O,None,None,-1,-1,274
26,▁is,▁is,O,O,None,None,-1,-1,275
26,▁,▁,O,O,None,None,-1,-1,276
26,123456,123456,O,O,None,None,-1,-1,277
26,?,?,O,O,None,None,-1,-1,278
27,▁Provide,▁Provide,O,O,None,None,-1,-1,279
27,▁a,▁a,O,O,None,None,-1,-1,280
27,▁list,▁list,O,O,None,None,-1,-1,281
27,▁of,▁of,O,O,None,None,-1,-1,282
27,▁customers,▁customers,O,O,None,None,-1,-1,283
27,▁with,▁with,O,O,None,None,-1,-1,284
27,▁a,▁a,O,O,None,None,-1,-1,285
27,▁record,▁record,O,O,None,None,-1,-1,286
27,▁created,▁created,O,O,None,None,-1,-1,287
27,▁last,▁last,B-DATE,B-DATE,last month,last month,9,9,288
27,▁month,▁month,I-DATE,I-DATE,last month,last month,9,9,289
27,.,.,O,O,None,None,-1,-1,290
28,▁List,▁List,O,O,None,None,-1,-1,291
28,▁all,▁all,O,O,None,None,-1,-1,292
28,▁customers,▁customers,O,O,None,None,-1,-1,293
28,▁who,▁who,O,O,None,None,-1,-1,294
28,▁are,▁are,O,O,None,None,-1,-1,295
28,▁women,▁women,O,O,None,None,-1,-1,296
29,▁List,▁List,O,O,None,None,-1,-1,297
29,▁the,▁the,O,O,None,None,-1,-1,298
29,▁customer,▁customer,O,O,None,None,-1,-1,299
29,▁whose,▁whose,O,O,None,None,-1,-1,300
29,▁first,▁first,B-ORDINAL,B-ORDINAL,first,first,4,4,301
29,▁name,▁name,O,O,None,None,-1,-1,302
29,▁is,▁is,O,O,None,None,-1,-1,303
29,▁exactly,▁exactly,O,O,None,None,-1,-1,304
29,▁G,▁G,B-PERSON,B-PERSON,Gaju,Gaju,8,8,305
29,aju,aju,I-PERSON,I-PERSON,Gaju,Gaju,8,8,306
30,▁Contacts,▁Contacts,O,O,None,None,-1,-1,307
30,▁electronic,▁electronic,O,O,None,None,-1,-1,308
30,mail,mail,O,O,None,None,-1,-1,309
30,▁end,▁end,O,O,None,None,-1,-1,310
30,▁with,▁with,O,O,None,None,-1,-1,311
30,▁edu,▁edu,O,O,None,None,-1,-1,312
31,▁Find,▁Find,O,O,None,None,-1,-1,313
31,▁customers,▁customers,O,O,None,None,-1,-1,314
31,▁whose,▁whose,O,O,None,None,-1,-1,315
31,▁nationality,▁nationality,O,O,None,None,-1,-1,316
31,▁is,▁is,O,O,None,None,-1,-1,317
31,▁china,▁china,B-GPE,B-GPE,china,china,5,5,318
31,.,.,O,O,None,None,-1,-1,319
32,▁account,▁account,O,O,None,None,-1,-1,320
32,▁name,▁name,O,O,None,None,-1,-1,321
32,▁start,▁start,O,O,None,None,-1,-1,322
32,▁with,▁with,O,O,None,None,-1,-1,323
32,▁micro,▁micro,O,O,None,None,-1,-1,324
32,▁number,▁number,O,O,None,None,-1,-1,325
32,of,of,O,O,None,None,-1,-1,326
32,employees,employees,O,O,None,None,-1,-1,327
32,▁>,▁>,O,B-CARDINAL,None,> 10000,-1,8,328
32,▁10000,▁10000,B-CARDINAL,I-CARDINAL,10000,> 10000,9,8,329
33,▁account,▁account,O,O,None,None,-1,-1,330
33,▁open,▁open,O,O,None,None,-1,-1,331
33,deals,deals,O,O,None,None,-1,-1,332
33,▁>,▁>,O,B-CARDINAL,None,> 5,-1,3,333
33,▁5,▁5,B-CARDINAL,I-CARDINAL,5,> 5,4,3,334
33,▁and,▁and,O,O,None,None,-1,-1,335
33,▁open,▁open,O,O,None,None,-1,-1,336
33,revenue,revenue,O,O,None,None,-1,-1,337
33,▁>,▁>,O,B-MONEY,None,> 100m,-1,8,338
33,▁100,▁100,B-QUANTITY,I-MONEY,100m,> 100m,9,8,339
33,m,m,I-QUANTITY,I-MONEY,100m,> 100m,9,8,340
34,▁contact,▁contact,O,O,None,None,-1,-1,341
34,▁that,▁that,O,O,None,None,-1,-1,342
34,▁is,▁is,O,O,None,None,-1,-1,343
34,▁created,▁created,O,O,None,None,-1,-1,344
34,▁on,▁on,O,O,None,None,-1,-1,345
34,▁9,▁9,B-DATE,B-DATE,9-13-2020,9-13-2020,5,5,346
34,-,-,I-DATE,I-DATE,9-13-2020,9-13-2020,5,5,347
34,13,13,I-DATE,I-DATE,9-13-2020,9-13-2020,5,5,348
34,-,-,I-DATE,I-DATE,9-13-2020,9-13-2020,5,5,349
34,2020,2020,I-DATE,I-DATE,9-13-2020,9-13-2020,5,5,350
35,▁contacts,▁contacts,O,O,None,None,-1,-1,351
35,▁who,▁who,O,O,None,None,-1,-1,352
35,▁live,▁live,O,O,None,None,-1,-1,353
35,▁in,▁in,O,O,None,None,-1,-1,354
35,▁canada,▁canada,B-GPE,B-GPE,canada,canada,4,4,355
36,▁open,▁open,O,O,None,None,-1,-1,356
36,▁lead,▁lead,O,O,None,None,-1,-1,357
36,▁with,▁with,O,O,None,None,-1,-1,358
36,▁amount,▁amount,O,O,None,None,-1,-1,359
36,of,of,O,O,None,None,-1,-1,360
36,budget,budget,O,O,None,None,-1,-1,361
36,▁less,▁less,O,B-MONEY,None,less than 20k,-1,6,362
36,▁than,▁than,I-MONEY,I-MONEY,None,less than 20k,-1,6,363
36,▁20,▁20,I-MONEY,I-MONEY,None,less than 20k,-1,6,364
36,k,k,I-MONEY,I-MONEY,None,less than 20k,-1,6,365
36,▁and,▁and,O,O,None,None,-1,-1,366
36,▁status,▁status,O,O,None,None,-1,-1,367
36,▁is,▁is,O,O,None,None,-1,-1,368
36,▁Will,▁Will,O,O,None,None,-1,-1,369
36,▁Buy,▁Buy,O,O,None,None,-1,-1,370
37,▁Locate,▁Locate,O,O,None,None,-1,-1,371
37,▁all,▁all,O,O,None,None,-1,-1,372
37,▁customers,▁customers,O,O,None,None,-1,-1,373
37,▁with,▁with,O,O,None,None,-1,-1,374
37,▁a,▁a,O,O,None,None,-1,-1,375
37,▁record,▁record,O,O,None,None,-1,-1,376
37,▁created,▁created,O,O,None,None,-1,-1,377
37,▁last,▁last,B-DATE,B-DATE,last month,last month.,7,7,378
37,▁month,▁month,I-DATE,I-DATE,last month,last month.,7,7,379
37,.,.,O,I-DATE,None,last month.,-1,7,380
38,▁customers,▁customers,O,O,None,None,-1,-1,381
38,▁with,▁with,O,O,None,None,-1,-1,382
38,▁customer,▁customer,O,O,None,None,-1,-1,383
38,profile,profile,O,O,None,None,-1,-1,384
38,id,id,O,O,None,None,-1,-1,385
38,▁is,▁is,O,O,None,None,-1,-1,386
38,▁78,▁78,O,O,None,None,-1,-1,387
38,bf,bf,O,O,None,None,-1,-1,388
38,b,b,O,O,None,None,-1,-1,389
38,768,768,O,O,None,None,-1,-1,390
38,-,-,O,O,None,None,-1,-1,391
38,71,71,O,O,None,None,-1,-1,392
38,f,f,O,O,None,None,-1,-1,393
38,4,4,O,O,None,None,-1,-1,394
38,-,-,O,O,None,None,-1,-1,395
38,45,45,O,O,None,None,-1,-1,396
38,d,d,O,O,None,None,-1,-1,397
38,5,5,O,O,None,None,-1,-1,398
38,-,-,O,O,None,None,-1,-1,399
38,a,a,O,O,None,None,-1,-1,400
38,81,81,O,O,None,None,-1,-1,401
38,b,b,O,O,None,None,-1,-1,402
38,-,-,O,O,None,None,-1,-1,403
38,6,6,O,O,None,None,-1,-1,404
38,ed,ed,O,O,None,None,-1,-1,405
38,8,8,O,O,None,None,-1,-1,406
38,d,d,O,O,None,None,-1,-1,407
38,650,650,O,O,None,None,-1,-1,408
38,cad,cad,O,O,None,None,-1,-1,409
38,8,8,O,O,None,None,-1,-1,410
39,▁Make,▁Make,O,O,None,None,-1,-1,411
39,▁a,▁a,O,O,None,None,-1,-1,412
39,▁list,▁list,O,O,None,None,-1,-1,413
39,▁of,▁of,O,O,None,None,-1,-1,414
39,▁all,▁all,O,O,None,None,-1,-1,415
39,▁customers,▁customers,O,O,None,None,-1,-1,416
39,▁from,▁from,O,O,None,None,-1,-1,417
39,▁segment,▁segment,O,O,None,None,-1,-1,418
39,▁O,▁O,B-ORG,B-ORG,O,O365,8,8,419
39,365,365,O,I-ORG,None,O365,-1,8,420
40,▁The,▁The,O,O,None,None,-1,-1,421
40,▁fraud,▁fraud,O,O,None,None,-1,-1,422
40,▁score,▁score,O,O,None,None,-1,-1,423
40,▁is,▁is,O,O,None,None,-1,-1,424
40,▁under,▁under,B-DATE,B-CARDINAL,under 30,under 30,4,4,425
40,▁30,▁30,I-DATE,I-CARDINAL,under 30,under 30,4,4,426
40,▁for,▁for,O,O,None,None,-1,-1,427
40,▁which,▁which,O,O,None,None,-1,-1,428
40,▁customer,▁customer,O,O,None,None,-1,-1,429
40,?,?,O,O,None,None,-1,-1,430
41,▁Locate,▁Locate,O,O,None,None,-1,-1,431
41,▁customers,▁customers,O,O,None,None,-1,-1,432
41,▁whose,▁whose,O,O,None,None,-1,-1,433
41,▁customer,▁customer,O,O,None,None,-1,-1,434
41,▁id,▁id,O,O,None,None,-1,-1,435
41,▁type,▁type,O,O,None,None,-1,-1,436
41,▁is,▁is,O,O,None,None,-1,-1,437
41,▁abc,▁abc,O,O,None,None,-1,-1,438
41,.,.,O,O,None,None,-1,-1,439
42,▁male,▁male,O,O,None,None,-1,-1,440
42,▁contacts,▁contacts,O,O,None,None,-1,-1,441
42,▁in,▁in,O,O,None,None,-1,-1,442
42,▁Germany,▁Germany,B-GPE,B-GPE,Germany,Germany,3,3,443
42,▁and,▁and,O,O,None,None,-1,-1,444
42,▁birth,▁birth,O,O,None,None,-1,-1,445
42,▁date,▁date,O,O,None,None,-1,-1,446
42,▁is,▁is,O,O,None,None,-1,-1,447
42,▁between,▁between,B-DATE,B-DATE,between 1970 and 2000,between 1970 and 2000,8,8,448
42,▁1970,▁1970,I-DATE,I-DATE,between 1970 and 2000,between 1970 and 2000,8,8,449
42,▁and,▁and,I-DATE,I-DATE,between 1970 and 2000,between 1970 and 2000,8,8,450
42,▁2000,▁2000,I-DATE,I-DATE,between 1970 and 2000,between 1970 and 2000,8,8,451
42,▁and,▁and,O,O,None,None,-1,-1,452
42,▁income,▁income,O,O,None,None,-1,-1,453
42,▁greater,▁greater,B-MONEY,B-MONEY,greater than $50K,greater than $50K,14,14,454
42,▁than,▁than,I-MONEY,I-MONEY,greater than $50K,greater than $50K,14,14,455
42,▁$,▁$,I-MONEY,I-MONEY,greater than $50K,greater than $50K,14,14,456
42,50,50,I-MONEY,I-MONEY,greater than $50K,greater than $50K,14,14,457
42,K,K,I-MONEY,I-MONEY,greater than $50K,greater than $50K,14,14,458
42,▁and,▁and,O,O,None,None,-1,-1,459
42,▁job,▁job,O,O,None,None,-1,-1,460
42,▁is,▁is,O,O,None,None,-1,-1,461
42,▁manager,▁manager,O,O,None,None,-1,-1,462
43,▁contact,▁contact,O,O,None,None,-1,-1,463
43,▁whose,▁whose,O,O,None,None,-1,-1,464
43,▁fax,▁fax,O,O,None,None,-1,-1,465
43,number,number,O,O,None,None,-1,-1,466
43,▁is,▁is,O,O,None,None,-1,-1,467
43,▁,▁,O,O,None,None,-1,-1,468
43,123456,123456,B-CARDINAL,O,123456,None,6,-1,469
43,7,7,O,O,None,None,-1,-1,470
44,▁Contact,▁Contact,O,O,None,None,-1,-1,471
44,▁with,▁with,O,O,None,None,-1,-1,472
44,▁email,▁email,O,O,None,None,-1,-1,473
45,▁contacts,▁contacts,O,O,None,None,-1,-1,474
45,▁who,▁who,O,O,None,None,-1,-1,475
45,▁have,▁have,O,O,None,None,-1,-1,476
45,▁annual,▁annual,O,O,None,None,-1,-1,477
45,▁income,▁income,O,O,None,None,-1,-1,478
45,▁higher,▁higher,B-CARDINAL,B-CARDINAL,higher than 100000,higher than 100000,5,5,479
45,▁than,▁than,I-CARDINAL,I-CARDINAL,higher than 100000,higher than 100000,5,5,480
45,▁100,▁100,I-CARDINAL,I-CARDINAL,higher than 100000,higher than 100000,5,5,481
